Account Name,DBA,City,State,County,Business License App Category Name,Expire Date
"Dandy Ventures, Inc.",Pet Supplies Plus # 4063,Fort Collins,CO,LARIMER,Retail / Wholesale of Pet Animals,3/2/2026
"Dandy Ventures, Inc.",Pet Supplies Plus # 4063,Fort Collins,CO,LARIMER,Pet Grooming Facility - Self Wash Facility,3/2/2026
Daniel M. Waitz,Pretty Paws Grooming By Kaila,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Daniel P. Atlas, DVM, PLLC",Beaver Brook Pet Center,Evergreen,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"Daniel P. Atlas, DVM, PLLC",Beaver Brook Pet Center,Evergreen,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Danielle J Reed,The Pampered Pup Grooming Salon,Greeley,CO,WELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dani's Pawsitive Vibes Pet Grooming LLC,N/A,Greeley,CO,WELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Dapper Dog, LLC",N/A,Bayfield,CO,LA PLATA,Pet Grooming Facility - Mobile Groomer,3/2/2026
Dapper Dogs LLC,Zoomin Groomin,Castle Pines,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dapper Dogs LLC,Zoomin Groomin,Castle Pines,CO,DOUGLAS,Pet Grooming Facility - Mobile Groomer,3/2/2026
Daryana's Backyard LTD,Daryana's Backyard,Elizabeth,CO,ELBERT,Pet Boarding and/or Training,3/2/2026
Daryana's Backyard LTD,Daryana's Backyard,Elizabeth,CO,ELBERT,Pet Handler,3/2/2026
Daryana's Backyard LTD,Daryana's Backyard,Elizabeth,CO,ELBERT,Pet Grooming Facility - Primary Facility Owner,3/2/2026
David Beattie,N/A,Watkins,CO,ADAMS,Pet Transporter,3/2/2026
David C Foley,Camp Bow Wow - Littleton,Littleton,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
David Gissing,Ponderosa Paws Mobile Dog Grooming,Grand Junction,CO,MESA,Pet Grooming Facility - Mobile Groomer,3/2/2026
David J Neverette,Valley Pets,Fountain,CO,EL PASO,Retail / Wholesale of Pet Animals,3/2/2026
David J Neverette,Valley Pets,Fountain,CO,EL PASO,Small Animal Breeder,3/2/2026
David J Neverette,Valley Pets,Fountain,CO,EL PASO,Pet Animal Small Shelter,3/2/2026
Dawg Gon'It Grooming LLC,Dawg Gon'It Grooming LLC,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dawgma LLC,N/A,Windsor,CO,WELD,Pet Grooming Facility - Mobile Groomer,3/2/2026
Dawn L. Emel,Pearls Sunrize Sanctuary,Salida,CO,CHAFFEE,Pet Animal Sanctuary,3/2/2026
Dawn M. Whitney,Whitney Farms,Fort Morgan,CO,MORGAN,Small Scale Dog Breeder,3/2/2026
Dawn Victorino,Ruff Cuts,Gypsum,CO,EAGLE,Pet Grooming Facility - Mobile Groomer,3/2/2026
Dawne L. Linde,SilverStar Kennels,Calhan,CO,EL PASO,Small Scale Dog Breeder,3/2/2026
Daylene Erker,The Paw Spa,Bethune,CO,KIT CARSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dayna VanSickle,303D.O.G.,Brighton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
Dazzle Dogs LLC,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dazzle Dogs LLC,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Mobile Groomer,3/2/2026
DD & S Family Inc.,Reef Encounters,Thornton,CO,ADAMS,Aquarium Only,3/2/2026
Debbie Grace,Debbie Grace,Westminister,CO,ADAMS,Pet Transporter,3/2/2026
Debora Ann Black,Poore Girl's Cockers,Alamosa,CO,ALAMOSA,Small Scale Dog Breeder,3/2/2026
Deborah Farrell,Tailwaggers,Basalt,CO,PITKIN,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Deborah L. Temple,Platte Valley Pet Grooming,Platteville,CO,WELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Debra J Kozak,"Happy Tail Barber,Happy Tail Barber Mobile Grooming",Aurora,CO,ARAPAHOE,Pet Grooming Facility - Mobile Groomer,3/2/2026
Deez Muttz LLC,N/A,Brighton,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026
Delta County Citizens for Animal Welfare & Shelter,"Barkin' Bargains,CAWS",Paonia,CO,DELTA,Pet Animal Small Shelter,3/2/2026
Delta County Humane Society,N/A,Delta,CO,DELTA,Pet Animal Large Rescue,3/2/2026
Demi's Animal Rescue,N/A,Aurora,CO,ARAPAHOE,Pet Animal Large Rescue,3/2/2026
Denise A. Bailey,Gentle Loving Care Dog Grooming,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Denise L. Wood,The DogHouse Grooming,Trinidad,CO,LAS ANIMAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Denkai Animal Sanctuary,N/A,Durango,CO,LA PLATA,Pet Animal Large Rescue,3/2/2026
Dennis F. Spruell,Cortez Animal Bed & Breakfast,Cortez,CO,MONTEZUMA,Pet Boarding and/or Training,3/2/2026
Dennis F. Spruell,Cortez Animal Bed & Breakfast,Cortez,CO,MONTEZUMA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Denver Animal Shelter,N/A,Denver,CO,DENVER,Pet Animal Large Shelter,3/2/2026
Denver Animal Shelter,N/A,Denver,CO,DENVER,Bird Band,3/2/2026
Denver Cat Rescue,N/A,Denver,CO,DENVER,Pet Animal Small Shelter,3/2/2026
Denver Cat Rescue,N/A,Denver,CO,DENVER,Pet Animal Small Shelter,3/2/2026
Denver Dachshunds Rescue and Transport,N/A,Calhan,CO,EL PASO,Pet Animal Small Shelter,3/2/2026
Denver Dog Dynamics,Dog Dynamix,Rifle,CO,GARFIELD,Pet Boarding and/or Training,3/2/2026
Denver Dog Dynamics,Dog Dynamix,Rifle,CO,GARFIELD,Pet Handler,3/2/2026
Denver Kittens,N/A,Lakewood,CO,JEFFERSON,Pet Animal Small Rescue,3/2/2026
Denver Rottweilers LLC,N/A,Rush,CO,EL PASO,Small Scale Dog Breeder,3/2/2026
Derek Stevens,Countryside Kennels,Burlington,CO,KIT CARSON,Pet Boarding and/or Training,3/2/2026
Derek Stevens,Countryside Kennels,Burlington,CO,KIT CARSON,Small Scale Dog Breeder,3/2/2026
Desirae Vissarriagas,Dog grooming,Parker,CO,DOUGLAS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
Destination Pet LLC,The Pet Spot,Boulder,CO,BOULDER,Pet Boarding and/or Training,3/2/2026
Destination Pet LLC,The Pet Spot,Boulder,CO,BOULDER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Destination Pet LLC,Ashcroft Pet Resort,Fort Collins,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
Destination Pet LLC,Ashcroft Pet Resort,Fort Collins,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Destination Pet, Inc.",Divine Canine Pet Hotel,Louisville,CO,BOULDER,Pet Boarding and/or Training,3/2/2026
"Destination Pet, Inc.",Divine Canine Pet Hotel,Louisville,CO,BOULDER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Destination Pet, Inc.",BARK!,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
"Destination Pet, Inc.",BARK!,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Destination Pet, LLC",Dugan's Veterinary Hospital,Aurora,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
"Destination Pet, LLC",Dugan's Veterinary Hospital,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Destination Pet, LLC",Canine Fitness and Fun,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
"Destination Pet, LLC",Canine Fitness and Fun,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Destination Pet, LLC",Heritage Pet,Parker,CO,DOUGLAS,Pet Boarding and/or Training,3/2/2026
"Destination Pet, LLC",Heritage Pet,Parker,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Destination Pet, LLC",Church Ranch Veterinary Center,Westminster,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"Destination Pet, LLC",Church Ranch Veterinary Center,Westminster,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Destination Pet, LLC",Two Ponds Pet Lodge,Arvada,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"Destination Pet, LLC",Two Ponds Pet Lodge,Arvada,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Destiny's Kennel LLP,N/A,Berthoud,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
Destiny's Kennel LLP,N/A,Berthoud,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
DHJ Enterprise,Aunt Su's House,Englewood,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
Diamonds In The Ruff Pet Spa,N/A,Pueblo,CO,PUEBLO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Diane Decker,Woodland Kennels,Woodland Park,CO,TELLER,Pet Boarding and/or Training,3/2/2026
Diane M. Grinton,Diane's Pet Grooming,Arvada,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Diane Van Landingham,Diane's Spa 4 Paws,La Junta,CO,OTERO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Diane's Clever K9s, LLC",N/A,Bayfield,CO,LA PLATA,Pet Boarding and/or Training,3/2/2026
Dionne L DiPentima,N/A,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dirt Dawg Co LLC,N/A,Telluride,CO,SAN MIGUEL,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dirty Dog Grooming LLC,N/A,South Fork,CO,RIO GRANDE,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
Dirty Hairy?s,N/A,Golden,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dirty Hairy?s,N/A,Golden,CO,JEFFERSON,Pet Grooming Facility - Self Wash Facility,3/2/2026
Dirty Paws Pet Spa LLC.,N/A,Canon City,CO,FREMONT,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dirty to Purrrdy,Dirty to Purrdy,Avondale,CO,PUEBLO,Pet Grooming Facility - Mobile Groomer,3/2/2026
Divine K9 Mobile Grooming LLC,N/A,Castle rock,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Divine K9 Mobile Grooming LLC,N/A,Castle rock,CO,DOUGLAS,Pet Grooming Facility - Mobile Groomer,3/2/2026
Dizzy Dog Animal Rescue,Non Profit,Colorado Springs,CO,EL PASO,Pet Animal Small Rescue,3/2/2026
"DME Enterprise, LLC",Dog Baths and Beyond,Loveland,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"DMK Rehoming, Inc.",DMK Rehoming,Littleton,CO,JEFFERSON,Pet Animal Large Rescue,3/2/2026
Dna Slithers & Critters,N/A,Federal Heights,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026
Dna Slithers & Critters,N/A,Federal Heights,CO,ADAMS,Small Animal Breeder,3/2/2026
Dog Country Day School LLC,Dog Country Day School LLC,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
"Dog Days, Inc",N/A,Berthoud,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
Dog Dynamix,N/A,Arvada,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
Dog Dynamix,N/A,Arvada,CO,JEFFERSON,Pet Handler,3/2/2026
Dog Dynasty LLC,Dog Dynasty and The Downtown Cat,Grand Junction,CO,MESA,Pet Boarding and/or Training,3/2/2026
Dog Dynasty LLC,Dog Dynasty and The Downtown Cat,Grand Junction,CO,MESA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dog Dynasty LLC,Dog Dynasty and The Downtown Cat,Grand Junction,CO,MESA,Pet Grooming Facility - Mobile Groomer,3/2/2026
Dog House Denver LLC,N/A,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
Dog House Denver LLC,N/A,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dog House Grooming LLC,N/A,Florissant,CO,TELLER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dog Is My CoPilot,N/A,Jackson,WY,OUT OF STATE,Pet Transporter,3/2/2026
"Dog Savvy, LLC",N/A,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dog Training with Kelly LLC,N/A,Colorado Springs,CO,EL PASO,Pet Handler,3/2/2026
Dog Training with Kelly LLC,N/A,Colorado Springs,CO,EL PASO,Pet Boarding and/or Training,3/2/2026
Dogcation Boarding & Daycare LLC,N/A,Bennett,CO,ARAPAHOE,Pet Boarding and/or Training,3/2/2026
Dogcation Boarding & Daycare LLC,N/A,Bennett,CO,ARAPAHOE,Pet Handler,3/2/2026
Dogcation Boarding & Daycare LLC,N/A,Bennett,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dogdrop,N/A,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
Dogg House,N/A,Basalt,CO,EAGLE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
DoggEdayz,N/A,Westminster,CO,ADAMS,Pet Boarding and/or Training,3/2/2026
DoggEdayz,N/A,Westminster,CO,ADAMS,Pet Boarding and/or Training,3/2/2026
Doggie Do's,Doggie-Do's,Westminster,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026
"Doggie Dude Ranch, LLC",N/A,Colorado Springs,CO,EL PASO,Pet Boarding and/or Training,3/2/2026
"Doggie Pause, Ltd.",Doggie Pause Dog Daycare,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
"Doggie Pause, Ltd.",Doggie Pause Dog Daycare,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Doggie Style LLC,N/A,Edwards,CO,EAGLE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Doggy Dog World Rescue,N/A,Littleton,CO,JEFFERSON,Pet Animal Small Rescue,3/2/2026
Doggy Dog World Rescue,N/A,Littleton,CO,JEFFERSON,Independent Contractor (IC) Pet Groomer,3/2/2026
Doggy N Styles LLC,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Doggy Style Mobile Pet Grooming, LLC",N/A,Steamboat Springs,CO,ROUTT,Pet Grooming Facility - Mobile Groomer,3/2/2026
Doggy Style Salon,Doggy Style Salon,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Doggy Styles Pet Salon LLC,N/A,Parker,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Doglife Inc.,N/A,Broomfield,CO,BROOMFIELD,Pet Boarding and/or Training,3/2/2026
"Dogpatch Grooming, Inc.",N/A,Lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Dogs Are My Jam, Inc.",Hounds Town Denver-Baker,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
"Dogs Are My Jam, Inc.",Hounds Town Denver-Baker,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dogs Best Friend,Dogs Best Friend,silt,CO,GARFIELD,Pet Handler,3/2/2026
Dogs by Dames,N/A,Greeley,CO,WELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dogs Evolved LLC,N/A,LAKEWOOD,CO,JEFFERSON,Pet Handler,3/2/2026
Dogs in the Driveway,N/A,Castle Rock,CO,DOUGLAS,Pet Grooming Facility - Mobile Groomer,3/2/2026
Dogs Unbroken,N/A,Berthoud,CO,LARIMER,Pet Animal Small Rescue,3/2/2026
"Dogs, LLC",Dogs Own,Loveland,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"DogTag Superior I, LLC",DogTag,Superior,CO,BOULDER,Pet Boarding and/or Training,3/2/2026
"DogTag Superior I, LLC",DogTag,Superior,CO,BOULDER,Pet Handler,3/2/2026
"DogTag Superior I, LLC",DogTag,Superior,CO,BOULDER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dogtown Grooming LLC,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Dogtown, Colorado",The Dog House -Telluride,Telluride,CO,SAN MIGUEL,Pet Boarding and/or Training,3/2/2026
"Dogtown, Colorado",The Dog House -Telluride,Telluride,CO,SAN MIGUEL,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dolled Up Dogs LLC,N/A,Windsor,CO,WELD,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Don Puppy LLC,Furry Land of Denver,Denver,CO,DENVER,Pet Grooming Facility - Mobile Groomer,3/2/2026
Donahue Unlimited LLC,A Paw Above,Colorado Springs,CO,EL PASO,Pet Boarding and/or Training,3/2/2026
Donahue Unlimited LLC,A Paw Above,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Donaldson LLC,TajmaPawz Zen Spa,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Donna Allison,The Animal House,Rocky Ford,CO,OTERO,Pet Boarding and/or Training,3/2/2026
Donna L. Palmerton,Mutt Hutt Grooming Salon,Estes Park,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Doodle Me This LLC,N/A,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Doodler Dog Grooming, LLC",N/A,Montrose,CO,MONTROSE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Dorr Veterinary Hospital, LLC",N/A,Delta,CO,DELTA,Pet Boarding and/or Training,3/2/2026
"Double J Pet Ranch, LLC",N/A,Colorado Springs,CO,EL PASO,Pet Boarding and/or Training,3/2/2026
Douglas Poll,Doug's Grooming,Pueblo,CO,PUEBLO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Dr. Cat, Inc.",Kipling Veterinary Hospital & Wellness Center,Lakewood,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"Dr. Cat, Inc.",Kipling Veterinary Hospital & Wellness Center,Lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dream Team Pet Grooming LLC,N/A,Lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dreamy Doggies LLC,N/A,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"DT Highlands Ranch, LP",Dogtopia,Highlands Ranch,CO,DOUGLAS,Pet Boarding and/or Training,3/2/2026
"DT Highlands Ranch, LP",Dogtopia,Highlands Ranch,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Dumb Friends League,Humane Colorado - SLV Animal Center,Alamosa,CO,ALAMOSA,Pet Animal Small Shelter,3/2/2026
Dumb Friends League,Humane Colorado - Malone Center,Denver,CO,DENVER,Pet Animal Large Shelter,3/2/2026
Dumb Friends League,Humane Colorado - Malone Center,Denver,CO,DENVER,Bird Band,3/2/2026
Dumb Friends League,Humane Colorado - SPUR Veterinary,Denver,CO,DENVER,Pet Animal Small Shelter,3/2/2026
Dumb Friends League,Humane Colorado - Buddy Center,Castle Rock,CO,DOUGLAS,Pet Animal Large Shelter,3/2/2026
Dumb Friends League,Humane Colorado - Buddy Center,Castle Rock,CO,DOUGLAS,Bird Band,3/2/2026
Duntuff Inc,Aurora Pet Grooming,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"DuPree Family Enterprises, LLC",Dirty Paws Dog Wash,Durango,CO,LA PLATA,Pet Grooming Facility - Self Wash Facility,3/2/2026
"Durango Dog Ranch, LLC",N/A,Hesperus,CO,LA PLATA,Commercial Pet Animal Facility,3/2/2026
Durango Pet Resort & Spa,Durango Pet Resort,Durango,CO,LA PLATA,Pet Boarding and/or Training,3/2/2026
Durango Pet Resort & Spa,Durango Pet Resort,Durango,CO,LA PLATA,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"E & E Enterprises, Inc",Aussie Pet Mobile of East Denver,Denver,CO,DENVER,Pet Grooming Facility - Mobile Groomer,3/2/2026
"E & J Veterinary Services, PC",Green Valley Ranch Pet Center,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
EAD Enterprises Inc,Mountain Dogs,Leadville,CO,LAKE,Pet Boarding and/or Training,3/2/2026
EAD Enterprises Inc,Mountain Dogs,Leadville,CO,LAKE,Pet Grooming Facility - Self Wash Facility,3/2/2026
Eagle County Animal Shelter,N/A,Eagle,CO,EAGLE,Pet Animal Small Shelter,3/2/2026
Eagle Valley Humane Society,N/A,Eagle,CO,EAGLE,Pet Animal Small Shelter,3/2/2026
"Ears Up, Pup! Dog Training",N/A,Denver,CO,DENVER,Pet Handler,3/2/2026
EarthWise Pet,N/A,Parker,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Eastern Plains Animal Welfare Alliance,EPAWA,Burlington,CO,KIT CARSON,Pet Animal Small Shelter,3/2/2026
Edna F. Schenck,Hidden Springs Labradors,Loma,CO,MESA,Small Scale Dog Breeder,3/2/2026
Edward G White,"M.K. Group,Mantayo Kennels & Dog School",Lakewood,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
Edward G White,"M.K. Group,Mantayo Kennels & Dog School",Lakewood,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Edwin D Parks,Holeshot Bullies,Springfield,CO,BACA,Large Scale Dog Breeder,3/2/2026
Eight Mile Ranch Inc,Eight Mile Ranch,Canon City,CO,FREMONT,Pet Boarding and/or Training,3/2/2026
El Dogo Pet grooming,El Dogo Pet Grooming,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
El Paso County Canine Rescue,N/A,Elbert,CO,ELBERT,Pet Animal Large Rescue,3/2/2026
Elaine M. Wolford,Happy Tails,Montrose,CO,MONTROSE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Elena's Barking Lot,N/A,Estes Park,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
Elevated Communities,Elevated Communities Cat Cafe,Longmont,CO,BOULDER,Pet Animal Small Shelter,3/2/2026
Elevated Dog Grooming,N/A,Littleton,CO,ARAPAHOE,Pet Grooming Facility - Secondary Facility Owner,3/2/2026
Elevation Incubator Corporation,Pet Evolution- Parker Colorado,Parker,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Elevation Incubator Corporation,Pet Evolution- Parker Colorado,Parker,CO,DOUGLAS,Pet Grooming Facility - Self Wash Facility,3/2/2026
Elisabeth A Fernandez,N/A,Grand Junction,CO,MESA,Independent Contractor (IC) Pet Groomer,3/2/2026
Elite Doodles of Colorado LLC,N/A,Pierce,CO,WELD,Large Scale Dog Breeder,3/2/2026
Elite Paws Pet Resort,Elite Paws Pet Resort,Pueblo,CO,PUEBLO,Pet Boarding and/or Training,3/2/2026
Elite Paws Pet Resort,Elite Paws Pet Resort,Pueblo,CO,PUEBLO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Elite Reef LLC,N/A,Denver,CO,ADAMS,Aquarium Only,3/2/2026
Elizabeth A. Tochtrop,N/A,Craig,CO,MOFFAT,Independent Contractor (IC) Pet Groomer,3/2/2026
Elizabeth N. Gallacher,Lakewood Dog & Cat Grooming,Colorado Springs,CO,EL PASO,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Elizabeth's Grooming Splash n Dash Self Service Pet Wash LLC,N/A,Arvada,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Elk Mountain Trading Company LLC,A & A Pet Supply and Feed,Frisco,CO,SUMMIT,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Elk Mountain Trading Company LLC,A & A Pet Supply and Feed,Frisco,CO,SUMMIT,Pet Grooming Facility - Self Wash Facility,3/2/2026
Elvira Valencia Sullivan,Pet Grooming Facility,Aurora,CO,ARAPAHOE,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Emily Martin,Pawsitively Pets,Lakewood,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
Emily Martin,Pawsitively Pets,Lakewood,CO,JEFFERSON,Pet Handler,3/2/2026
Enchanted Mobile Pet Grooming,N/A,Longmont,CO,BOULDER,Pet Grooming Facility - Mobile Groomer,3/2/2026
EncoreVet Group LLC,Wellington Veterinary Hospital,Wellington,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
Endless Pawsibilities Dog Training & Services LLC,N/A,Aspen,CO,PITKIN,Pet Boarding and/or Training,3/2/2026
"English Springer Rescue America, Inc.","English Springer Rescue America, Inc.",Denver,CO,DENVER,Pet Animal Small Rescue,3/2/2026
Eric Nava,Oh My Dog!,Trinidad,CO,LAS ANIMAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Erica's Cut Above,N/a,Canon city,CO,FREMONT,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Erie Animal Hospital, PC",N/A,Erie,CO,WELD,Pet Boarding and/or Training,3/2/2026
Erie Dog Co LLC,N/A,Erie,CO,WELD,Pet Boarding and/or Training,3/2/2026
Erin M. Nissen,Durango Animal Connection,Durango,CO,LA PLATA,Pet Animal Small Rescue,3/2/2026
Espanola Valley Humane Society,N/A,Espanola,NM,OUT OF STATE,Pet Transporter,3/2/2026
Essential Pet LLC,N/A,Parker,CO,DOUGLAS,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Estes Bark,Estes Bark,Estes Park,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
"Estes Park Pet Lodge, Inc.",N/A,Estes Park,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
"Estes Park Pet Lodge, Inc.",N/A,Estes Park,CO,LARIMER,Pet Animal Small Shelter,3/2/2026
"Estes Park Pet Lodge, Inc.",N/A,Estes Park,CO,LARIMER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Estes Park Pet Supply,N/A,Estes Park,CO,LARIMER,Pet Grooming Facility - Self Wash Facility,3/2/2026
Evergreen Animal Protective League,N/A,Evergreen,CO,JEFFERSON,Pet Animal Large Rescue,3/2/2026
Evergreen Animal Protective League CatLodge,EAPL,Evergreen,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
Evergreen Animal Protective League Chow Down,N/A,Evergreen,CO,JEFFERSON,Pet Animal Small Shelter,3/2/2026
"Evergreen Cat Lodge, LLC",N/A,Evergreen,CO,JEFFERSON,Pet Boarding and/or Training,3/2/2026
"Evergreen Cat Lodge, LLC",N/A,Evergreen,CO,JEFFERSON,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Exotic Bird Ranch II,Exotic Birds,Denver,CO,DENVER,Pet Boarding and/or Training,3/2/2026
Exotic Bird Ranch II,Exotic Birds,Denver,CO,DENVER,Retail / Wholesale of Pet Animals,3/2/2026
Exotic Bird Ranch II,Exotic Birds,Denver,CO,DENVER,Pet Grooming Facility - Primary Facility Owner,3/2/2026
Exotic Bird Ranch Inc.,Exotic Bird Ranch,Fort Collins,CO,LARIMER,Pet Boarding and/or Training,3/2/2026
Exotic Bird Ranch Inc.,Exotic Bird Ranch,Fort Collins,CO,LARIMER,Pet Handler,3/2/2026
